symptom,diseases_with_symptom,disease_frequency,weight
ankle_weakness,1,0.001402524544179523,6.8777
sore_in_nose,1,0.001402524544179523,6.8777
skin_pain,1,0.001402524544179523,6.8777
shoulder_lump_or_mass,1,0.001402524544179523,6.8777
bladder_mass,1,0.001402524544179523,6.8777
premature_ejaculation,1,0.001402524544179523,6.8777
poor_circulation,1,0.001402524544179523,6.8777
thirst,1,0.001402524544179523,6.8777
neck_cramps_or_spasms,1,0.001402524544179523,6.8777
incontinence_of_stool,1,0.001402524544179523,6.8777
early_or_late_onset_of_menopause,1,0.001402524544179523,6.8777
hip_stiffness_or_tightness,1,0.001402524544179523,6.8777
lip_sore,1,0.001402524544179523,6.8777
vulvar_sore,1,0.001402524544179523,6.8777
feeling_hot,1,0.001402524544179523,6.8777
premenstrual_tension_or_irritability,1,0.001402524544179523,6.8777
dry_or_flaky_scalp,1,0.001402524544179523,6.8777
wrist_weakness,1,0.001402524544179523,6.8777
postpartum_problems_of_the_breast,1,0.001402524544179523,6.8777
breathing_fast,1,0.001402524544179523,6.8777
bedwetting,1,0.001402524544179523,6.8777
itching_of_scrotum,1,0.001402524544179523,6.8777
wrinkles_on_skin,1,0.001402524544179523,6.8777
symptoms_of_infants,1,0.001402524544179523,6.8777
low_back_weakness,1,0.001402524544179523,6.8777
excessive_growth,1,0.001402524544179523,6.8777
bowlegged_or_knock_kneed,1,0.001402524544179523,6.8777
low_back_cramps_or_spasms,1,0.001402524544179523,6.8777
infant_spitting_up,1,0.001402524544179523,6.8777
unwanted_hair,1,0.001402524544179523,6.8777
problems_with_shape_or_size_of_breast,1,0.001402524544179523,6.8777
scanty_menstrual_flow,1,0.001402524544179523,6.8777
flushing,1,0.001402524544179523,6.8777
throat_redness,1,0.001402524544179523,6.8777
back_stiffness_or_tightness,1,0.001402524544179523,6.8777
hand_or_finger_cramps_or_spasms,1,0.001402524544179523,6.8777
wrist_lump_or_mass,1,0.001402524544179523,6.8777
abdominal_distention,1,0.001402524544179523,6.8777
muscle_weakness,1,0.001402524544179523,6.8777
joint_swelling,1,0.001402524544179523,6.8777
eyelid_lesion_or_rash,2,0.002805049088359046,6.4723
wrist_stiffness_or_tightness,2,0.002805049088359046,6.4723
mouth_dryness,2,0.002805049088359046,6.4723
flu_like_syndrome,2,0.002805049088359046,6.4723
recent_weight_loss,2,0.002805049088359046,6.4723
frequent_menstruation,2,0.002805049088359046,6.4723
hesitancy,2,0.002805049088359046,6.4723
muscle_stiffness_or_tightness,2,0.002805049088359046,6.4723
shoulder_weakness,2,0.002805049088359046,6.4723
swollen_or_red_tonsils,2,0.002805049088359046,6.4723
drainage_in_throat,2,0.002805049088359046,6.4723
foot_or_toe_stiffness_or_tightness,2,0.002805049088359046,6.4723
mass_or_swelling_around_the_anus,2,0.002805049088359046,6.4723
pelvic_pressure,2,0.002805049088359046,6.4723
foot_or_toe_lump_or_mass,2,0.002805049088359046,6.4723
leg_lump_or_mass,2,0.002805049088359046,6.4723
hand_or_finger_weakness,2,0.002805049088359046,6.4723
penile_discharge,2,0.002805049088359046,6.4723
penis_redness,2,0.002805049088359046,6.4723
cloudy_eye,2,0.002805049088359046,6.4723
arm_lump_or_mass,2,0.002805049088359046,6.4723
low_urine_output,2,0.002805049088359046,6.4723
foot_or_toe_weakness,2,0.002805049088359046,6.4723
redness_in_or_around_nose,2,0.002805049088359046,6.4723
bleeding_from_eye,2,0.002805049088359046,6.4723
difficulty_eating,2,0.002805049088359046,6.4723
unusual_color_or_odor_to_urine,2,0.002805049088359046,6.4723
swollen_abdomen,3,0.004207573632538569,6.1846
kidney_mass,3,0.004207573632538569,6.1846
vaginal_bleeding_after_menopause,3,0.004207573632538569,6.1846
infant_feeding_problem,3,0.004207573632538569,6.1846
excessive_appetite,3,0.004207573632538569,6.1846
hand_or_finger_lump_or_mass,3,0.004207573632538569,6.1846
shoulder_swelling,3,0.004207573632538569,6.1846
diaper_rash,3,0.004207573632538569,6.1846
stiffness_all_over,3,0.004207573632538569,6.1846
eye_moves_abnormally,3,0.004207573632538569,6.1846
skin_on_arm_or_hand_looks_infected,3,0.004207573632538569,6.1846
recent_pregnancy,3,0.004207573632538569,6.1846
muscle_cramps_contractures_or_spasms,3,0.004207573632538569,6.1846
burning_chest_pain,3,0.004207573632538569,6.1846
sneezing,3,0.004207573632538569,6.1846
irregular_belly_button,3,0.004207573632538569,6.1846
itching_of_the_anus,3,0.004207573632538569,6.1846
bumps_on_penis,3,0.004207573632538569,6.1846
arm_weakness,3,0.004207573632538569,6.1846
hysterical_behavior,3,0.004207573632538569,6.1846
nightmares,3,0.004207573632538569,6.1846
loss_of_sex_drive,4,0.005610098176718092,5.9614
dry_lips,4,0.005610098176718092,5.9614
back_weakness,4,0.005610098176718092,5.9614
pus_draining_from_ear,4,0.005610098176718092,5.9614
vaginal_dryness,4,0.005610098176718092,5.9614
pain_in_gums,4,0.005610098176718092,5.9614
mass_on_eyelid,4,0.005610098176718092,5.9614
vulvar_irritation,4,0.005610098176718092,5.9614
bleeding_from_ear,4,0.005610098176718092,5.9614
itchy_ear_s_,4,0.005610098176718092,5.9614
back_mass_or_lump,4,0.005610098176718092,5.9614
back_cramps_or_spasms,4,0.005610098176718092,5.9614
eyelid_swelling,4,0.005610098176718092,5.9614
congestion_in_chest,4,0.005610098176718092,5.9614
lump_in_throat,4,0.005610098176718092,5.9614
itchy_eyelid,4,0.005610098176718092,5.9614
feeling_cold,4,0.005610098176718092,5.9614
bleeding_or_discharge_from_nipple,5,0.0070126227208976155,5.7791
rib_pain,5,0.0070126227208976155,5.7791
penis_pain,5,0.0070126227208976155,5.7791
too_little_hair,5,0.0070126227208976155,5.7791
eye_deviation,5,0.0070126227208976155,5.7791
obsessions_and_compulsions,5,0.0070126227208976155,5.7791
bleeding_gums,5,0.0070126227208976155,5.7791
vaginal_redness,5,0.0070126227208976155,5.7791
neck_stiffness_or_tightness,5,0.0070126227208976155,5.7791
elbow_swelling,5,0.0070126227208976155,5.7791
itchy_scalp,5,0.0070126227208976155,5.7791
absence_of_menstruation,5,0.0070126227208976155,5.7791
blood_clots_during_menstrual_periods,6,0.008415147265077139,5.625
coughing_up_sputum,6,0.008415147265077139,5.625
leg_stiffness_or_tightness,6,0.008415147265077139,5.625
lump_or_mass_of_breast,6,0.008415147265077139,5.625
symptoms_of_prostate,6,0.008415147265077139,5.625
hurts_to_breath,6,0.008415147265077139,5.625
infertility,6,0.008415147265077139,5.625
cross_eyed,6,0.008415147265077139,5.625
tongue_lesions,6,0.008415147265077139,5.625
painful_sinuses,6,0.008415147265077139,5.625
sinus_congestion,6,0.008415147265077139,5.625
frontal_headache,7,0.009817671809256662,5.4914
muscle_swelling,7,0.009817671809256662,5.4914
shoulder_stiffness_or_tightness,7,0.009817671809256662,5.4914
changes_in_stool_appearance,7,0.009817671809256662,5.4914
nosebleed,7,0.009817671809256662,5.4914
painful_menstruation,7,0.009817671809256662,5.4914
restlessness,7,0.009817671809256662,5.4914
knee_stiffness_or_tightness,7,0.009817671809256662,5.4914
antisocial_behavior,7,0.009817671809256662,5.4914
low_self_esteem,7,0.009817671809256662,5.4914
irregular_appearing_nails,7,0.009817671809256662,5.4914
gum_pain,7,0.009817671809256662,5.4914
hemoptysis,7,0.009817671809256662,5.4914
excessive_urination_at_night,7,0.009817671809256662,5.4914
melena,7,0.009817671809256662,5.4914
symptoms_of_the_kidneys,7,0.009817671809256662,5.4914
apnea,7,0.009817671809256662,5.4914
abnormal_breathing_sounds,8,0.011220196353436185,5.3737
slurring_words,8,0.011220196353436185,5.3737
smoking_problems,8,0.011220196353436185,5.3737
knee_weakness,8,0.011220196353436185,5.3737
neck_swelling,8,0.011220196353436185,5.3737
symptoms_of_the_face,8,0.011220196353436185,5.3737
flatulence,8,0.011220196353436185,5.3737
jaw_swelling,8,0.011220196353436185,5.3737
decreased_heart_rate,8,0.011220196353436185,5.3737
leg_weakness,9,0.012622720897615708,5.2683
irritable_infant,9,0.012622720897615708,5.2683
pain_during_intercourse,9,0.012622720897615708,5.2683
jaundice,9,0.012622720897615708,5.2683
groin_pain,9,0.012622720897615708,5.2683
ringing_in_ear,9,0.012622720897615708,5.2683
throat_swelling,9,0.012622720897615708,5.2683
pulling_at_ears,9,0.012622720897615708,5.2683
muscle_pain,9,0.012622720897615708,5.2683
long_menstrual_periods,9,0.012622720897615708,5.2683
eye_burns_or_stings,9,0.012622720897615708,5.2683
pain_or_soreness_of_breast,9,0.012622720897615708,5.2683
redness_in_ear,9,0.012622720897615708,5.2683
skin_on_leg_or_foot_looks_infected,9,0.012622720897615708,5.2683
heavy_menstrual_flow,10,0.014025245441795231,5.173
ankle_swelling,10,0.014025245441795231,5.173
symptoms_of_the_scrotum_and_testes,10,0.014025245441795231,5.173
warts,10,0.014025245441795231,5.173
mass_in_scrotum,10,0.014025245441795231,5.173
swollen_lymph_nodes,10,0.014025245441795231,5.173
fluid_in_ear,10,0.014025245441795231,5.173
abnormal_movement_of_eyelid,10,0.014025245441795231,5.173
uterine_contractions,10,0.014025245441795231,5.173
knee_lump_or_mass,10,0.014025245441795231,5.173
regurgitation,10,0.014025245441795231,5.173
vomiting_blood,10,0.014025245441795231,5.173
white_discharge_from_eye,11,0.015427769985974754,5.086
fears_and_phobias,11,0.015427769985974754,5.086
sweating,11,0.015427769985974754,5.086
